medido_em,rio_nivel,rio_variacao,chuva_mm,chuva_total,chuva_taxa_med,chuva_taxa_max,bateria_v
2026-09-08T21:10:00,,0,0,0,0,0,
2026-09-08T21:20:00,,0,0,0,0,0,
2026-09-08T21:30:00,,0,0,0,0,0,
2026-09-08T21:40:00,,0,0,0,0,0,
2026-09-08T21:50:00,,0,0,0,0,0,
2026-09-08T22:00:00,,0,0,0,0,0,
2026-09-08T22:10:00,,0,0,0,0,0,
2026-09-08T22:20:00,,0,0,0,0,0,
2026-09-08T22:30:00,,0,0,0,0,0,
2026-09-08T22:40:00,,0,0,0,0,0,
2026-09-08T22:50:00,,0,0,0,0,0,
2026-09-08T23:00:00,,0,0,0,0,0,
2026-09-08T23:10:00,,0,0,0,0,0,
2026-09-08T23:20:00,,0,0,0,0,0,
2026-09-08T23:30:00,,0,0,0,0,0,
2026-09-08T23:40:00,,0,0,0,0,0,
2026-09-08T23:50:00,,0,0,0,0,0,
2026-09-09T00:00:00,,0,0,0,0,0,
2026-09-09T00:10:00,,0,0,0,0,0,
2026-09-09T00:20:00,,0,0,0,0,0,
2026-09-09T00:30:00,,0,0,0,0,0,
2026-09-09T00:40:00,,0,0,0,0,0,
2026-09-09T00:50:00,,0,0,0,0,0,
2026-09-09T01:00:00,,0,0,0,0,0,
2026-09-09T01:10:00,,0,0,0,0,0,
2026-09-09T01:20:00,,0,0,0,0,0,
2026-09-09T01:30:00,,0,0,0,0,0,
2026-09-09T01:40:00,,0,0,0,0,0,
2026-09-09T01:50:00,,0,0,0,0,0,
2026-09-09T02:00:00,,0,0,0,0,0,
2026-09-09T02:10:00,,0,0,0,0,0,
2026-09-09T02:20:00,,0,0,0,0,0,
2026-09-09T02:30:00,,0,0,0,0,0,
2026-09-09T02:40:00,,0,0,0,0,0,
2026-09-09T02:50:00,,0,0,0,0,0,
2026-09-09T03:00:00,,0,0,0,0,0,
2026-09-09T03:10:00,,0,0,0,0,0,
2026-09-09T03:20:00,,0,0,0,0,0,
2026-09-09T03:30:00,,0,0,0,0,0,
2026-09-09T03:40:00,,0,0,0,0,0,
2026-09-09T03:50:00,,0,0,0,0,0,
2026-09-09T04:00:00,,0,0,0,0,0,
2026-09-09T04:10:00,,0,0,0,0,0,
2026-09-09T04:20:00,,0,0,0,0,0,
2026-09-09T04:30:00,,-0.010000000000005116,0,0,0,0,
2026-09-09T04:40:00,,0.010000000000005116,0,0,0,0,
2026-09-09T04:50:00,,0,0,0,0,0,
2026-09-09T05:00:00,,0,0,0,0,0,
2026-09-09T05:10:00,,0,0,0,0,0,
2026-09-09T05:20:00,,0,0,0,0,0,
2026-09-09T05:30:00,,0,0,0,0,0,
2026-09-09T05:40:00,,0,0,0,0,0,
2026-09-09T05:50:00,,0,0,0,0,0,
2026-09-09T06:00:00,,0,0,0,0,0,
2026-09-09T06:10:00,,-0.010000000000005116,0,0,0,0,
2026-09-09T06:20:00,,0,0,0,0,0,
2026-09-09T06:30:00,,0.010000000000005116,0,0,0,0,
2026-09-09T06:40:00,,0,0,0,0,0,
2026-09-09T06:50:00,,0,0,0,0,0,
2026-09-09T07:00:00,,0,0,0,0,0,
2026-09-09T07:10:00,,0,0,0,0,0,
2026-09-09T07:20:00,,0,0,0,0,0,
2026-09-09T07:30:00,,0,0,0,0,0,
2026-09-09T07:40:00,,-0.010000000000005116,0,0,0,0,
2026-09-09T07:50:00,,0,0,0,0,0,
2026-09-09T08:00:00,,0.010000000000005116,0,0,0,0,
2026-09-09T08:10:00,,0,0,0,0,0,
2026-09-09T08:20:00,,0,0,0,0,0,
2026-09-09T08:30:00,,-0.010000000000005116,0,0,0,0,
2026-09-09T08:40:00,,0,1.2,1.2,7.2,15.5,
2026-09-09T08:50:00,,0.010000000000005116,0.6,1.7999999999999998,3.6,11.1,
2026-09-09T09:00:00,,0.00999999999999801,0.4,2.1999999999999997,2.4,6.2,
2026-09-09T09:10:00,,0,0.8,3,4.8,17.1,
2026-09-09T09:20:00,,0.00999999999999801,0.4,3.4,2.4,4.3,
2026-09-09T09:30:00,,0,0.2,3.6,1.2,2.4,
2026-09-09T09:40:00,,0,0,3.6,0,0,
2026-09-09T09:50:00,,0,0,3.6,0,0,
2026-09-09T10:00:00,,0,0.4,4,2.4,4,
2026-09-09T10:10:00,,0,0,4,0,0,
2026-09-09T10:20:00,,0,0,4,0,0,
2026-09-09T10:30:00,,0,0,4,0,0,
2026-09-09T10:40:00,,0,0,4,0,0,
2026-09-09T10:50:00,,0,0,4,0,0,
2026-09-09T11:00:00,,0.00999999999999801,0,4,0,0,
2026-09-09T11:10:00,,0,0,4,0,0,
2026-09-09T11:20:00,,0,0,4,0,0,
2026-09-09T11:30:00,,0,0,4,0,0,
2026-09-09T11:40:00,,0,0,4,0,0,
2026-09-09T11:50:00,,0,0,4,0,0,
2026-09-09T12:00:00,,0,0.2,4.2,1.2,2.4,
2026-09-09T12:10:00,,0,0,4.2,0,0,
2026-09-09T12:20:00,,0.010000000000005116,0,4.2,0,0,
2026-09-09T12:30:00,,0,0,4.2,0,0,
2026-09-09T12:40:00,,0,0,4.2,0,0,
2026-09-09T12:50:00,,0,0,4.2,0,0,
2026-09-09T13:00:00,,0,0,4.2,0,0,
2026-09-09T13:10:00,,0.00999999999999801,0,4.2,0,0,
2026-09-09T13:20:00,,0,0,4.2,0,0,
2026-09-09T13:30:00,,0,0,4.2,0,0,
2026-09-09T13:40:00,,0,0,4.2,0,0,
2026-09-09T13:50:00,,0,0,4.2,0,0,
2026-09-09T14:00:00,,0.00999999999999801,0,4.2,0,0,
2026-09-09T14:10:00,,0,0,4.2,0,0,
2026-09-09T14:20:00,,0,0.2,4.4,1.2,2.4,
2026-09-09T14:30:00,,0,0,4.4,0,0,
2026-09-09T14:40:00,,0.010000000000005116,0,4.4,0,0,
2026-09-09T14:50:00,,0,0,4.4,0,0,
2026-09-09T15:00:00,,0,0,4.4,0,0,
2026-09-09T15:10:00,,0.00999999999999801,0,4.4,0,0,
2026-09-09T15:20:00,,0,0,4.4,0,0,
2026-09-09T15:30:00,,0,0,4.4,0,0,
2026-09-09T15:40:00,,0,0,4.4,0,0,
2026-09-09T15:50:00,,0.00999999999999801,0,4.4,0,0,
2026-09-09T16:00:00,,0,0,4.4,0,0,
2026-09-09T16:10:00,,0.00999999999999801,0,4.4,0,0,
2026-09-09T16:20:00,,0,0,4.4,0,0,
2026-09-09T16:30:00,,0,0,4.4,0,0,
2026-09-09T16:40:00,,0.010000000000005116,0,4.4,0,0,
2026-09-09T16:50:00,,0,0,4.4,0,0,
2026-09-09T17:00:00,,0,0,4.4,0,0,
2026-09-09T17:10:00,,0,0,4.4,0,0,
2026-09-09T17:20:00,,0,0,4.4,0,0,
2026-09-09T17:30:00,,0,0,4.4,0,0,
2026-09-09T17:40:00,,0,0,4.4,0,0,
2026-09-09T17:50:00,,0,0,4.4,0,0,
2026-09-09T18:00:00,,0,0,4.4,0,0,
2026-09-09T18:10:00,,0,0,4.4,0,0,
2026-09-09T18:20:00,,-0.010000000000005116,0,4.4,0,0,
2026-09-09T18:30:00,,0,0,4.4,0,0,
2026-09-09T18:40:00,,0,0,4.4,0,0,
2026-09-09T18:50:00,,0,0,4.4,0,0,
2026-09-09T19:00:00,,0,0,4.4,0,0,
2026-09-09T19:10:00,,0,0,4.4,0,0,
2026-09-09T19:20:00,,0,0,4.4,0,0,
2026-09-09T19:30:00,,0,0,4.4,0,0,
2026-09-09T19:40:00,,0,0,4.4,0,0,
2026-09-09T19:50:00,,0,0,4.4,0,0,
