medido_em,rio_nivel,rio_variacao,chuva_mm,chuva_total,chuva_taxa_med,chuva_taxa_max,bateria_v
2026-09-08T21:10:00,1.29,0,0,0,0,0,13.2
2026-09-08T21:20:00,1.29,0,0,0,0,0,13.19
2026-09-08T21:30:00,1.29,0,0,0,0,0,13.205
2026-09-08T21:40:00,1.29,0,0,0,0,0,13.21
2026-09-08T21:50:00,1.29,0,0,0,0,0,13.21
2026-09-08T22:00:00,1.29,0,0,0,0,0,13.21
2026-09-08T22:10:00,1.29,0,0,0,0,0,13.19
2026-09-08T22:20:00,1.28,-0.010000000000000009,0,0,0,0,13.19
2026-09-08T22:30:00,1.28,0,0,0,0,0,13.2
2026-09-08T22:40:00,1.28,0,0,0,0,0,13.2
2026-09-08T22:50:00,1.28,0,0,0,0,0,13.2
2026-09-08T23:00:00,1.28,0,0,0,0,0,13.2
2026-09-08T23:10:00,1.28,0,0,0,0,0,13.185
2026-09-08T23:20:00,1.28,0,0,0,0,0,13.17
2026-09-08T23:30:00,1.28,0,0,0,0,0,13.185
2026-09-08T23:40:00,1.28,0,0,0,0,0,13.185
2026-09-08T23:50:00,1.28,0,0,0,0,0,13.195
2026-09-09T00:00:00,1.28,0,0,0,0,0,13.19
2026-09-09T00:10:00,1.28,0,0,0,0,0,13.175
2026-09-09T00:20:00,1.28,0,0,0,0,0,13.165
2026-09-09T00:30:00,1.28,0,0,0,0,0,13.175
2026-09-09T00:40:00,1.27,-0.010000000000000009,0,0,0,0,13.18
2026-09-09T00:50:00,1.27,0,0,0,0,0,13.18
2026-09-09T01:00:00,1.27,0,0,0,0,0,13.18
2026-09-09T01:10:00,1.27,0,0,0,0,0,13.165
2026-09-09T01:20:00,1.27,0,0,0,0,0,13.155
2026-09-09T01:30:00,1.27,0,0,0,0,0,13.165
2026-09-09T01:40:00,1.27,0,0,0,0,0,13.17
2026-09-09T01:50:00,1.27,0,0,0,0,0,13.17
2026-09-09T02:00:00,1.27,0,0,0,0,0,13.17
2026-09-09T02:10:00,1.26,-0.010000000000000009,0,0,0,0,13.155
2026-09-09T02:20:00,1.26,0,0,0,0,0,13.15
2026-09-09T02:30:00,1.26,0,0,0,0,0,13.16
