medido_em,rio_nivel,rio_variacao,chuva_mm,chuva_total,chuva_taxa_med,chuva_taxa_max,bateria_v
2026-09-08T21:00:00,5.94,0,0,0,0,0,12.675
2026-09-08T21:10:00,5.94,0,0,0,0,0,12.65
2026-09-08T21:20:00,5.94,0,0,0,0,0,12.64
2026-09-08T21:30:00,5.94,0,0,0,0,0,12.655
2026-09-08T21:40:00,5.93,-0.010000000000000675,0,0,0,0,12.66
2026-09-08T21:50:00,5.93,0,0,0,0,0,12.65
2026-09-08T22:00:00,5.93,0,0,0,0,0,12.65
2026-09-08T22:10:00,5.93,0,0,0,0,0,12.625
2026-09-08T22:20:00,5.92,-0.009999999999999787,0,0,0,0,12.61
2026-09-08T22:30:00,5.92,0,0,0,0,0,12.63
2026-09-08T22:40:00,5.92,0,0,0,0,0,12.635
2026-09-08T22:50:00,5.92,0,0,0,0,0,12.63
2026-09-08T23:00:00,5.92,0,0,0,0,0,12.62
2026-09-08T23:10:00,5.91,-0.009999999999999787,0,0,0,0,12.595
2026-09-08T23:20:00,5.91,0,0,0,0,0,12.585
2026-09-08T23:30:00,5.91,0,0,0,0,0,12.61
2026-09-08T23:40:00,5.91,0,0,0,0,0,12.61
2026-09-08T23:50:00,5.91,0,0,0,0,0,12.605
2026-09-09T00:00:00,5.91,0,0,0,0,0,12.6
2026-09-09T00:10:00,5.91,0,0,0,0,0,12.575
2026-09-09T00:20:00,5.91,0,0,0,0,0,12.56
2026-09-09T00:30:00,5.9,-0.009999999999999787,0,0,0,0,12.585
2026-09-09T00:40:00,5.9,0,0,0,0,0,12.59
2026-09-09T00:50:00,5.9,0,0,0,0,0,12.58
2026-09-09T01:00:00,5.9,0,0,0,0,0,12.58
2026-09-09T01:10:00,5.9,0,0,0,0,0,12.545
2026-09-09T01:20:00,5.9,0,0,0,0,0,12.535
2026-09-09T01:30:00,5.9,0,0,0,0,0,12.555
2026-09-09T01:40:00,5.9,0,0,0,0,0,12.56
2026-09-09T01:50:00,5.89,-0.010000000000000675,0,0,0,0,12.55
2026-09-09T02:00:00,5.89,0,0,0,0,0,12.55
2026-09-09T02:10:00,5.89,0,0,0,0,0,12.525
2026-09-09T02:20:00,5.89,0,0,0,0,0,12.51
2026-09-09T02:30:00,5.89,0,0,0,0,0,12.535
2026-09-09T02:40:00,5.89,0,0,0,0,0,12.535
2026-09-09T02:50:00,5.89,0,0,0,0,0,12.54
2026-09-09T03:00:00,5.89,0,0,0,0,0,12.53
2026-09-09T03:10:00,5.89,0,0,0,0,0,12.5
2026-09-09T03:20:00,5.88,-0.009999999999999787,0,0,0,0,12.505
2026-09-09T03:30:00,5.88,0,0,0,0,0,12.515
2026-09-09T03:40:00,5.88,0,0,0,0,0,12.515
2026-09-09T03:50:00,5.88,0,0,0,0,0,12.51
2026-09-09T04:00:00,5.87,-0.009999999999999787,0,0,0,0,12.51
2026-09-09T04:10:00,5.87,0,0,0,0,0,12.49
2026-09-09T04:20:00,5.86,-0.009999999999999787,0,0,0,0,12.49
2026-09-09T04:30:00,5.86,0,0,0,0,0,12.495
2026-09-09T04:40:00,5.85,-0.010000000000000675,0.02,0.02,0.25,0.5,12.495
2026-09-09T04:50:00,5.85,0,0,0.02,0,0,12.48
2026-09-09T05:00:00,5.85,0,0,0.02,0,0,12.48
2026-09-09T05:10:00,5.85,0,0,0.02,0,0,12.47
2026-09-09T05:20:00,5.84,-0.009999999999999787,0,0.02,0,0,12.47
2026-09-09T05:30:00,5.84,0,0.03,0.05,1.65,3.3,12.48
2026-09-09T05:40:00,5.84,0,0,0.05,0,0,12.475
2026-09-09T05:50:00,5.84,0,0.02,0.07,0.15,0.3,12.47
2026-09-09T06:00:00,5.84,0,0,0.07,0,0,12.47
2026-09-09T06:10:00,5.84,0,0,0.07,0,0,12.47
2026-09-09T06:20:00,5.84,0,0.01,0.08,0.1,0.2,12.47
2026-09-09T06:30:00,5.84,0,0,0.08,0,0,12.47
2026-09-09T06:40:00,5.85,0.009999999999999787,0.03,0.11,0.25,0.5,12.47
2026-09-09T06:50:00,5.85,0,0,0.11,0,0,12.47
2026-09-09T07:00:00,5.85,0,0,0.11,0,0,12.47
2026-09-09T07:10:00,5.85,0,0,0.11,0,0,12.47
2026-09-09T07:20:00,5.85,0,0.01,0.12,0.1,0.2,12.465
2026-09-09T07:30:00,5.85,0,0,0.12,0,0,12.46
2026-09-09T07:40:00,5.85,0,0.03,0.15,0.4,0.8,12.46
2026-09-09T07:50:00,5.85,0,0,0.15,0,0,12.45
2026-09-09T08:00:00,5.85,0,0.01,0.16,0.15,0.3,12.46
2026-09-09T08:10:00,5.85,0,0,0.16,0,0,12.455
2026-09-09T08:20:00,5.85,0,0.43,0.59,2.7,8.3,12.46
2026-09-09T08:30:00,5.85,0,0.28,0.87,1.7,8.3,12.465
2026-09-09T08:40:00,5.85,0,0.01,0.88,0.1,0.2,12.48
2026-09-09T08:50:00,5.86,0.010000000000000675,0.01,0.89,0.3,0.6,12.475
2026-09-09T09:00:00,5.85,-0.010000000000000675,0,0.89,0,0,12.48
2026-09-09T09:10:00,5.85,0,0,0.89,0,0,12.485
2026-09-09T09:20:00,5.86,0.010000000000000675,0.02,0.91,0.9,1.8,12.475
2026-09-09T09:30:00,5.86,0,0,0.91,0,0,12.485
2026-09-09T09:40:00,5.86,0,0.06,0.97,0.55,1.1,12.655
2026-09-09T09:50:00,5.86,0,0,0.97,0,0,12.84
2026-09-09T10:00:00,5.86,0,0.02,0.99,1.4,2.8,12.82
2026-09-09T10:10:00,5.86,0,0.01,1,0.9,1.8,12.82
2026-09-09T10:20:00,5.86,0,0.08,1.08,0.5,2.8,12.79
2026-09-09T10:30:00,5.86,0,0.67,1.75,5.4,13.8,12.74
2026-09-09T10:40:00,5.86,0,0.11,1.86,0.65,5.5,12.695
2026-09-09T10:50:00,5.86,0,0.07,1.9300000000000002,0.5,1.3,12.685
2026-09-09T11:00:00,5.86,0,0.12,2.0500000000000003,0.7,2.8,12.8
2026-09-09T11:10:00,5.86,0,0,2.0500000000000003,0,0,12.93
2026-09-09T11:20:00,5.86,0,0.02,2.0700000000000003,0.1,1.3,13.085
2026-09-09T11:30:00,5.85,-0.010000000000000675,0.03,2.1,0.5,0.7,13.225
2026-09-09T11:40:00,5.85,0,0.03,2.13,0.2,2.8,13.185
2026-09-09T11:50:00,5.85,0,0.18,2.31,1.4,11.1,13.1
2026-09-09T12:00:00,5.84,-0.009999999999999787,0.83,3.14,5,27.7,13.06
2026-09-09T12:10:00,5.85,0.009999999999999787,0.09,3.23,0.5,5.5,13.01
2026-09-09T12:20:00,5.84,-0.009999999999999787,0,3.23,0,0,13.045
