medido_em,rio_nivel,rio_variacao,chuva_mm,chuva_total,chuva_taxa_med,chuva_taxa_max,bateria_v
2026-09-08T21:10:00,4.04,0,,,,,13.21
2026-09-08T21:20:00,4.04,0,,,,,13.2
2026-09-08T21:30:00,4.04,0,,,,,13.205
2026-09-08T21:40:00,4.04,0,,,,,13.215
2026-09-08T21:50:00,4.03,-0.009999999999999787,,,,,13.21
2026-09-08T22:00:00,4.03,0,,,,,13.21
2026-09-08T22:10:00,4.03,0,,,,,13.205
2026-09-08T22:20:00,4.03,0,,,,,13.2
2026-09-08T22:30:00,4.03,0,,,,,13.2
2026-09-08T22:40:00,4.02,-0.010000000000000675,,,,,13.21
2026-09-08T22:50:00,4.02,0,,,,,13.21
2026-09-08T23:00:00,4.01,-0.009999999999999787,,,,,13.21
2026-09-08T23:10:00,4.01,0,,,,,13.2
2026-09-08T23:20:00,4.01,0,,,,,13.19
2026-09-08T23:30:00,4.01,0,,,,,13.205
2026-09-08T23:40:00,4.01,0,,,,,13.21
2026-09-08T23:50:00,4.0,-0.009999999999999787,,,,,13.21
2026-09-09T00:00:00,4.0,0,,,,,13.21
2026-09-09T00:10:00,4.0,0,,,,,13.2
2026-09-09T00:20:00,3.99,-0.009999999999999787,,,,,13.195
2026-09-09T00:30:00,3.99,0,,,,,13.2
2026-09-09T00:40:00,3.99,0,,,,,13.21
2026-09-09T00:50:00,3.99,0,,,,,13.21
2026-09-09T01:00:00,3.99,0,,,,,13.2
2026-09-09T01:10:00,3.99,0,,,,,13.19
2026-09-09T01:20:00,3.98,-0.010000000000000231,,,,,13.19
2026-09-09T01:30:00,3.98,0,,,,,13.195
2026-09-09T01:40:00,3.98,0,,,,,13.2
2026-09-09T01:50:00,3.98,0,,,,,13.2
2026-09-09T02:00:00,3.97,-0.009999999999999787,,,,,13.2
2026-09-09T02:10:00,3.97,0,,,,,13.195
2026-09-09T02:20:00,3.97,0,,,,,13.185
2026-09-09T02:30:00,3.96,-0.010000000000000231,,,,,13.195
