protocolo,data_evento,data_registro,ano,municipio,cod_ibge,bacia,cobrade,tipo,status,mortos,feridos,desabrigados,desalojados,desaparecidos,danos_humanos_total,outros_afetados,casas_danificadas,casas_destruidas,danos_materiais_rs,prejuizos_rs
SC-P-4202404-12200-19970203,1997-02-03,1997-02-03,1997,Blumenau,4202404,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4202909-12200-19970203,1997-02-03,1997-02-03,1997,Brusque,4202909,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-D-4209904-12200-19970203,1997-02-03,1997-02-03,1997,Lontras,4209904,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4214805-12100-19971011,1997-10-11,1997-10-11,1997,Rio do Sul,4214805,acu,12100,Inundação,Registro,0,0,362,6,0,368,392,2,0,80629.92,1265889.7
SC-D-4217808-12200-19980129,1998-01-29,1998-01-29,1998,Taió,4217808,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4214805-12100-19980428,1998-04-28,1998-04-28,1998,Rio do Sul,4214805,acu,12100,Inundação,Registro,0,0,0,763,0,763,0,0,1,110991.2,0.0
SC-A-4208203-12200-19990123,1999-01-23,1999-01-23,1999,Itajaí,4208203,ambos,12200,Enxurrada,Registro,0,0,0,350,0,350,800,0,0,9911623.18,2510944.54
SC-A-4208500-12200-19990225,1999-02-25,1999-02-25,1999,Ituporanga,4208500,acu,12200,Enxurrada,Registro,0,7,6,64,0,77,83,13,1,1063847.55,660774.88
SC-A-4202206-12200-19990226,1999-02-26,1999-02-26,1999,Benedito Novo,4202206,acu,12200,Enxurrada,Registro,0,0,14,57,0,77,6,20,4,4460230.43,0.0
SC-A-4215109-12200-19990226,1999-02-26,1999-02-26,1999,Rodeio,4215109,acu,12200,Enxurrada,Registro,2,2,6,0,0,10,2,34,4,1532997.72,0.0
SC-A-4214805-12100-19990703,1999-07-03,1999-07-03,1999,Rio do Sul,4214805,acu,12100,Inundação,Registro,0,0,201,0,0,201,0,0,0,0.0,403072.68
SC-A-4205902-12200-19990729,1999-07-29,1999-07-29,1999,Gaspar,4205902,acu,12200,Enxurrada,Registro,0,0,5,15,0,20,0,0,0,0.0,0.0
SC-A-4208500-12200-20000114,2000-01-14,2000-01-14,2000,Ituporanga,4208500,acu,12200,Enxurrada,Registro,0,6,12,980,0,998,1350,172,1,4771977.76,1582635.75
SC-A-4201257-12200-20000116,2000-01-16,2000-01-16,2000,Apiúna,4201257,acu,12200,Enxurrada,Registro,0,0,0,60,0,60,0,0,0,605373.22,352031.15
SC-A-4202909-12200-20000214,2000-02-14,2000-02-14,2000,Brusque,4202909,mirim,12200,Enxurrada,Registro,0,0,0,39,0,39,0,38,0,469374.86,199020.96
SC-A-4213203-12200-20000215,2000-02-15,2000-02-15,2000,Pomerode,4213203,acu,12200,Enxurrada,Registro,0,0,30,820,0,850,30,323,0,3413498.6,2657383.83
SC-A-4218202-12200-20000228,2000-02-28,2000-02-28,2000,Timbó,4218202,acu,12200,Enxurrada,Registro,0,0,150,0,0,150,0,7,2,2765099.35,2700710.74
SC-A-4205902-12200-20000305,2000-03-05,2000-03-05,2000,Gaspar,4205902,acu,12200,Enxurrada,Registro,0,0,22,8,0,30,7,1,0,1979799.1,523533.5
SC-P-4202404-12200-20000309,2000-03-09,2000-03-09,2000,Blumenau,4202404,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4214805-12200-20010212,2001-02-12,2001-02-12,2001,Rio do Sul,4214805,acu,12200,Enxurrada,Registro,0,0,13,0,0,13,0,0,23,4177840.97,117739.4
SC-A-4202206-12200-20010309,2001-03-09,2001-03-09,2001,Benedito Novo,4202206,acu,12200,Enxurrada,Registro,0,0,4,95,0,99,4500,30,1,2665489.25,803189.86
SC-A-4206306-12200-20010317,2001-03-17,2001-03-17,2001,Guabiruba,4206306,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,1449938.94,436071.86
SC-A-4219200-12200-20010324,2001-03-24,2001-03-24,2001,Vidal Ramos,4219200,mirim,12200,Enxurrada,Registro,0,1,53,67,0,121,0,18,0,4765748.96,1901545.86
SC-A-4214805-12200-20010904,2001-09-04,2001-09-04,2001,Rio do Sul,4214805,acu,12200,Enxurrada,Registro,0,0,21,0,0,21,0,11,0,2966923.92,0.0
SC-A-4207106-12200-20010930,2001-09-30,2001-09-30,2001,Ilhota,4207106,acu,12200,Enxurrada,Registro,0,0,37,177,0,214,27,61,0,4421223.58,4057376.12
SC-A-4208500-12200-20010930,2001-09-30,2001-09-30,2001,Ituporanga,4208500,acu,12200,Enxurrada,Registro,0,0,0,158,0,159,1346,60,0,3079757.52,1733385.65
SC-A-4202206-12100-20011001,2001-10-01,2001-10-01,2001,Benedito Novo,4202206,acu,12100,Inundação,Registro,0,0,37,44,0,81,2700,32,0,1028039.41,691173.9
SC-A-4202404-12100-20011001,2001-10-01,2001-10-01,2001,Blumenau,4202404,acu,12100,Inundação,Registro,0,0,396,516,0,912,16828,70,43,4932790.38,738596.71
SC-A-4202701-12100-20011001,2001-10-01,2001-10-01,2001,Botuverá,4202701,mirim,12100,Inundação,Registro,0,0,0,0,0,0,0,3,1,1617554.06,264368.57
SC-A-4202909-12100-20011001,2001-10-01,2001-10-01,2001,Brusque,4202909,mirim,12100,Inundação,Registro,1,1,20,101,0,123,322,21,4,3210579.07,2145800.61
SC-A-4207502-12100-20011001,2001-10-01,2001-10-01,2001,Indaial,4207502,acu,12100,Inundação,Registro,0,0,144,224,0,368,40,0,19,2466531.46,83507.76
SC-A-4209904-12100-20011001,2001-10-01,2001-10-01,2001,Lontras,4209904,acu,12100,Inundação,Registro,0,0,144,95,0,239,30,3,0,868328.09,2589176.67
SC-A-4211306-12100-20011001,2001-10-01,2001-10-01,2001,Navegantes,4211306,acu,12100,Inundação,Registro,0,0,0,261,0,261,800,90,0,234388.63,1031855.04
SC-A-4214805-12200-20011001,2001-10-01,2001-10-01,2001,Rio do Sul,4214805,acu,12200,Enxurrada,Registro,1,6,2885,0,0,2894,0,840,91,12088457.06,867237.91
SC-D-4215109-12200-20011001,2001-10-01,2001-10-01,2001,Rodeio,4215109,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4218202-12100-20011001,2001-10-01,2001-10-01,2001,Timbó,4218202,acu,12100,Inundação,Registro,0,0,350,0,0,350,0,0,0,212585.03,0.0
SC-D-4219200-12200-20011001,2001-10-01,2001-10-01,2001,Vidal Ramos,4219200,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4208203-12100-20011002,2001-10-02,2001-10-02,2001,Itajaí,4208203,ambos,12100,Inundação,Registro,0,0,383,10,0,404,131,954,2,10117957.34,2246751.24
SC-A-4217808-12100-20011002,2001-10-02,2001-10-02,2001,Taió,4217808,acu,12100,Inundação,Registro,0,4,0,825,0,829,240,304,0,4308935.07,7421397.98
SC-A-4206306-12100-20011008,2001-10-08,2001-10-08,2001,Guabiruba,4206306,mirim,12100,Inundação,Registro,0,0,0,0,0,0,0,0,0,2561922.18,0.0
SC-P-4205902-12200-20020228,2002-02-28,2002-02-28,2002,Gaspar,4205902,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4202206-12200-20020312,2002-03-12,2002-03-12,2002,Benedito Novo,4202206,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,5,0,600669.37,51744.67
SC-A-4206306-12200-20020315,2002-03-15,2002-03-15,2002,Guabiruba,4206306,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,603687.81,582127.53
SC-P-4211306-12200-20020327,2002-03-27,2002-03-27,2002,Navegantes,4211306,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,0.0,0.0
SC-A-4207106-12200-20020918,2002-09-18,2002-09-18,2002,Ilhota,4207106,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,2091347.05,1164255.06
SC-A-4215109-12200-20021001,2002-10-01,2002-10-01,2002,Rodeio,4215109,acu,12200,Enxurrada,Registro,0,0,175,250,0,425,175,80,0,2186212.27,2920124.17
SC-A-4202206-12200-20021121,2002-11-21,2002-11-21,2002,Benedito Novo,4202206,acu,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,625248.09,215602.79
SC-A-4214805-12200-20021121,2002-11-21,2002-11-21,2002,Rio do Sul,4214805,acu,12200,Enxurrada,Registro,0,0,16,0,0,16,0,8,0,3392294.27,554530.37
SC-A-4219200-12200-20021121,2002-11-21,2002-11-21,2002,Vidal Ramos,4219200,mirim,12200,Enxurrada,Registro,0,0,0,0,0,0,0,0,0,858099.1,30503482.5
SC-A-4217808-12200-20021128,2002-11-28,2002-11-28,2002,Taió,4217808,acu,12200,Enxurrada,Registro,0,32,257,96,0,385,52,121,0,4269150.81,433754.0
SC-A-4208203-12200-20031106,2003-11-06,2003-11-06,2003,Itajaí,4208203,ambos,12200,Enxurrada,Registro,1,0,16,16,0,33,16,800,7,14793629.58,1509799.23
