id,inicio,fim,n_cidades,cidades,atinge_acu,atinge_mirim,tipos,desabrigados,desalojados,mortos,prejuizos_rs,protocolos
2017-03-03,2017-03-03,2017-03-03,1,Brusque,False,True,Enxurrada,0,0,0,0.0,SC-F-4202909-12200-20170303
2017-05-27,2017-05-27,2017-06-06,11,"Apiúna, Ascurra, Botuverá, Brusque, Indaial, Itajaí, Ituporanga, Lontras, Rio do Sul, Taió, Vidal Ramos",True,True,"Alagamento, Chuvas intensas, Enxurrada, Inundação",1614,16345,0,177156067.38,"SC-F-4201703-12200-20170527, SC-F-4201703-12100-20170531, SC-F-4202909-13214-20170531, SC-F-4214805-12100-20170601, SC-F-4201257-12200-20170604, SC-F-4202701-12200-20170604, SC-F-4208500-13214-20170604, SC-F-4217808-13214-20170604, SC-F-4219200-13214-20170604, SC-F-4208203-12100-20170605, SC-F-4209904-13214-20170605, SC-F-4207502-12300-20170606"
2017-10-06,2017-10-06,2017-10-06,1,Brusque,False,True,Enxurrada,0,0,0,0.0,SC-F-4202909-12200-20171006
2017-11-17,2017-11-17,2017-11-17,1,Apiúna,True,False,Enxurrada,0,0,0,143392.37,SC-F-4201257-12200-20171117
2018-01-11,2018-01-11,2018-01-24,5,"Blumenau, Botuverá, Brusque, Gaspar, Navegantes",True,True,"Chuvas intensas, Enxurrada",33,1951,0,40686838.69,"SC-F-4202909-13214-20180111, SC-F-4211306-12200-20180111, SC-F-4202404-13214-20180116, SC-F-4202701-12200-20180116, SC-F-4202909-12200-20180116, SC-F-4205902-13214-20180116, SC-F-4202404-12200-20180123, SC-F-4205902-13214-20180124"
2018-02-26,2018-02-26,2018-02-26,1,Rio do Sul,True,False,Chuvas intensas,0,12,0,4277240.28,SC-F-4214805-13214-20180226
2018-03-24,2018-03-24,2018-03-31,5,"Blumenau, Botuverá, Pomerode, Taió, Timbó",True,True,"Chuvas intensas, Enxurrada",0,635,4,4522526.86,"SC-F-4217808-13214-20180324, SC-F-4202701-12200-20180325, SC-F-4202404-13214-20180331, SC-F-4202404-12200-20180331, SC-F-4213203-13214-20180331, SC-F-4218202-13214-20180331"
2018-04-13,2018-04-13,2018-04-13,1,Taió,True,False,Chuvas intensas,0,0,0,0.0,SC-F-4217808-13214-20180413
2018-09-04,2018-09-04,2018-09-04,1,Rio do Sul,True,False,Inundação,19,0,0,0.0,SC-F-4214805-12100-20180904
2018-12-15,2018-12-15,2018-12-15,1,Benedito Novo,True,False,Enxurrada,0,0,0,0.0,SC-F-4202206-12200-20181215
2019-01-13,2019-01-13,2019-01-17,3,"Blumenau, Botuverá, Navegantes",True,True,"Alagamento, Chuvas intensas, Enxurrada",0,116,0,9917978.29,"SC-F-4211306-12300-20190113, SC-F-4202404-13214-20190117, SC-F-4202701-12200-20190117"
2019-02-18,2019-02-18,2019-02-18,1,Navegantes,True,False,Chuvas intensas,1,1469,0,9129726.27,SC-F-4211306-13214-20190218
2019-05-30,2019-05-30,2019-05-31,2,"Brusque, Rio do Sul",True,True,"Chuvas intensas, Inundação",160,15,0,18647.95,"SC-F-4202909-13214-20190530, SC-F-4214805-12100-20190531"
2020-01-13,2020-01-13,2020-01-13,1,Brusque,False,True,Chuvas intensas,8,124,0,1240870.79,SC-F-4202909-13214-20200110
2020-02-03,2020-02-03,2020-02-14,5,"Ascurra, Gaspar, Ilhota, Navegantes, Rodeio",True,False,"Chuvas intensas, Enxurrada, Inundação",0,50,0,646050.93,"SC-F-4215109-12200-20200202, SC-F-4211306-12200-20200206, SC-F-4215109-13214-20200207, SC-F-4205902-13214-20200207, SC-F-4201703-12100-20200209, SC-F-4207106-13214-20200206"
2020-02-27,2020-02-27,2020-02-27,1,Brusque,False,True,Chuvas intensas,4,88,0,0.0,SC-F-4202909-13214-20200206
2020-03-18,2020-03-18,2020-03-18,1,Brusque,False,True,Chuvas intensas,0,0,0,0.0,SC-F-4202909-13214-20200209
2020-06-22,2020-06-22,2020-06-22,1,Rodeio,True,False,Chuvas intensas,0,0,0,5050.23,SC-F-4215109-13214-20200610
2020-11-28,2020-11-28,2020-11-28,2,"Ascurra, Rodeio",True,False,Chuvas intensas,0,4,0,0.0,"SC-F-4201703-13214-20201126, SC-F-4215109-13214-20201127"
